perimeter.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,43191,196270
perimeter.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,138974,294971
perimeter.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,46573,204247
perimeter.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,133755,267246
perimeter.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,93833,418468
perimeter.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,140400,273025
perimeter.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,88436,397438
raytracer2.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,127,601
raytracer2.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,131,583
raytracer2.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,127,575
raytracer2.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,188,273
raytracer2.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,128,545
raytracer2.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,181,184
raytracer3.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,131,683
raytracer3.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,133,681
raytracer3.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,131,739
raytracer3.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,203,320
raytracer3.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,133,662
raytracer3.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,175,181
sharpsatbench.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,564,3194
sharpsatbench.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,1579,1579
sharpsatbench.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,578,3189
sharpsatbench.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,1574,1574
sharpsatbench.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,557,3335
sharpsatbench.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,3705,5132
